iter	RMSE
0	4554829.961
1	4371914.292
2	4202128.843
3	4051909.991
4	3916219.295
5	3798567.587
6	3695150.245
7	3596445.244
8	3504658.379
9	3433851.394
10	3362835.533
11	3307530.055
12	3256231.96
13	3211304.403
14	3167465.124
15	3129340.712
16	3091603.144
17	3059342.379
18	3033533.91
19	3006046.797
20	2985471.249
21	2964238.779
22	2941145.959
23	2922314.323
24	2900510.399
25	2886787.273
26	2872227.364
27	2857133.943
28	2843302.776
29	2828404.279
30	2818381.294
31	2809429.134
32	2797301.931
33	2788518.388
34	2780958.432
35	2773815.519
36	2766808.973
37	2759588.452
38	2748397.437
39	2741953.806
40	2733079.255
41	2727504.881
42	2722184.229
43	2715651.539
44	2709356.112
45	2704851.638
46	2698543.459
47	2693771.498
48	2689547.449
49	2685932.593
50	2680377.534
51	2674668.08
52	2670627.846
53	2667875.003
54	2662845.005
55	2659913.598
56	2656075.562
57	2653448.039
58	2651304.063
59	2648704.294
60	2643211.564
61	2639451.758
62	2637485.029
63	2635438.66
64	2633432.065
65	2631344.556
66	2629091.918
67	2626984.148
68	2624366.336
69	2621985.552
70	2619883.746
71	2618599.766
72	2616423.568
73	2613181.949
74	2611348.573
75	2608507.906
76	2606680.886
77	2605307.788
78	2604386.595
79	2602315.748
80	2599691.932
81	2598474.802
82	2596238.809
83	2594587.151
84	2592795.383
85	2590697.052
86	2589614.363
87	2588249.388
88	2587393.34
89	2586535.929
90	2584556.321
91	2583061.84
92	2581774.091
93	2581178.135
94	2580501.721
95	2577961.908
96	2576407.771
97	2575545.165
98	2574360.108
99	2573096.196
100	2570935.523
101	2569517.295
102	2569043.904
103	2567825.241
104	2566825.282
105	2564764.831
106	2563267.268
107	2562326.019
108	2561516.929
109	2559953.295
110	2559288.291
111	2558731.759
112	2558024.284
113	2555650.032
114	2554926.085
115	2552770.079
116	2550180.874
117	2549068.24
118	2548314.389
119	2547730.586
120	2546331.288
121	2545529.656
122	2544412.614
123	2543237.372
124	2542294.236
125	2541620.606
126	2540752.066
127	2540351.57
128	2539172.337
129	2538068.007
130	2537247.69
131	2536467.867
132	2535687.058
133	2535114.334
134	2534351.874
135	2533769.133
136	2532424.776
137	2531777.158
138	2531221.669
139	2529910.579
140	2528746.35
141	2527675.28
142	2527076.003
143	2525758.283
144	2523458.952
145	2522799.074
146	2522268.473
147	2521700.081
148	2521081.765
149	2520313.27
150	2519756.929
151	2519107.868
152	2518573.333
153	2518099.395
154	2517446.494
155	2516860.889
156	2514966.482
157	2514351.059
158	2513608.211
159	2512657.289
160	2511719.565
161	2510025.599
162	2508157.101
163	2507367.362
164	2506752.405
165	2506169.009
166	2505461.111
167	2505050.29
168	2504589.06
169	2504042.792
170	2503531.49
171	2502544.944
172	2501733.805
173	2501073.676
174	2499664.696
175	2498947.454
176	2498005.773
177	2497502.932
178	2496651.203
179	2496274.33
180	2495676.635
181	2495191.647
182	2494916.639
183	2494131.905
184	2493263.387
185	2492222.005
186	2491696.378
187	2491375.395
188	2490678.529
189	2489797.474
190	2488968.521
191	2488312.834
192	2487925.264
193	2487508.119
194	2486989.39
195	2486326.023
196	2485624.964
197	2484874.817
198	2484498.938
199	2483233.305
200	2482745.806
201	2482073.995
202	2481646.118
203	2480867.228
