iter	Passed	Remaining
0	53	53014
1	103	51700
2	152	50777
3	203	50776
4	254	50653
5	301	49913
6	357	50754
7	409	50748
8	463	50996
9	505	50072
10	553	49774
11	611	50379
12	655	49787
13	688	48511
14	712	46793
15	749	46070
16	784	45363
17	817	44619
18	847	43735
19	873	42799
20	911	42471
21	949	42224
22	989	42016
23	1031	41930
24	1067	41642
25	1107	41471
26	1146	41317
27	1191	41362
28	1232	41279
29	1279	41374
30	1323	41367
31	1368	41401
32	1415	41466
33	1462	41538
34	1498	41305
35	1539	41229
36	1577	41063
37	1619	40994
38	1668	41117
39	1714	41157
40	1759	41164
41	1799	41044
42	1844	41042
43	1886	40983
44	1923	40827
45	1966	40788
46	2010	40758
47	2059	40844
48	2102	40804
49	2142	40699
50	2186	40680
51	2235	40755
52	2278	40715
53	2321	40671
54	2365	40645
55	2407	40585
56	2450	40543
57	2485	40367
58	2503	39935
59	2526	39585
60	2548	39235
61	2569	38874
62	2609	38806
63	2638	38587
64	2668	38381
65	2705	38287
66	2737	38122
67	2752	37722
68	2768	37359
69	2786	37026
70	2804	36690
71	2820	36358
72	2837	36031
73	2854	35722
74	2874	35455
75	2891	35153
76	2911	34899
77	2927	34606
78	2942	34303
79	2959	34039
80	2977	33784
81	2995	33529
82	3013	33293
83	3030	33046
84	3046	32798
85	3063	32562
86	3081	32333
87	3097	32099
88	3114	31877
89	3130	31657
90	3149	31457
91	3166	31247
92	3183	31045
93	3200	30845
94	3216	30641
95	3235	30465
96	3254	30294
97	3270	30105
98	3287	29920
99	3305	29750
100	3324	29588
101	3340	29411
102	3356	29227
103	3372	29058
104	3391	28907
105	3410	28764
106	3429	28619
107	3446	28462
108	3462	28306
109	3480	28157
110	3498	28023
111	3514	27868
112	3531	27720
113	3549	27588
114	3565	27441
115	3584	27312
116	3602	27188
117	3619	27057
118	3636	26919
119	3654	26803
120	3672	26681
121	3690	26560
122	3707	26434
123	3729	26344
124	3749	26247
125	3772	26170
126	3791	26059
127	3805	25927
128	3822	25806
129	3839	25692
130	3855	25573
131	3871	25457
132	3888	25347
133	3905	25239
134	3921	25124
135	3937	25011
136	3953	24905
137	3969	24792
138	3985	24684
139	4001	24583
140	4018	24482
141	4036	24388
142	4052	24286
143	4070	24195
144	4088	24107
145	4103	24003
146	4118	23899
147	4136	23809
148	4152	23715
149	4169	23626
150	4185	23530
151	4201	23439
152	4217	23346
153	4233	23259
154	4250	23169
155	4265	23076
156	4284	23004
157	4300	22919
158	4317	22837
159	4334	22758
160	4352	22679
161	4371	22612
162	4389	22537
163	4405	22454
164	4422	22379
165	4437	22296
166	4454	22218
167	4469	22134
168	4484	22052
169	4499	21970
170	4516	21895
171	4534	21830
172	4552	21763
173	4569	21692
174	4587	21626
175	4605	21562
176	4622	21494
177	4637	21418
178	4656	21356
179	4674	21294
180	4691	21229
181	4706	21155
182	4721	21080
183	4743	21034
184	4761	20974
185	4779	20918
186	4797	20857
187	4813	20791
188	4831	20730
189	4851	20680
190	4869	20624
191	4889	20577
192	4906	20514
193	4922	20451
194	4941	20400
195	4960	20346
196	4979	20295
197	4997	20242
198	5014	20182
199	5032	20128
200	5049	20073
201	5068	20023
202	5084	19963
203	5103	19913
204	5120	19856
205	5137	19802
206	5154	19748
207	5172	19696
208	5188	19636
209	5207	19588
210	5224	19535
211	5241	19483
212	5258	19430
213	5277	19381
214	5296	19337
215	5313	19285
216	5330	19234
217	5348	19184
218	5365	19134
219	5384	19091
220	5401	19039
221	5416	18981
222	5435	18938
223	5451	18885
224	5467	18832
225	5484	18783
226	5502	18736
227	5521	18693
228	5538	18648
229	5557	18604
230	5576	18562
231	5593	18514
232	5614	18483
233	5633	18440
234	5649	18392
235	5666	18342
236	5681	18291
237	5697	18240
238	5713	18191
239	5727	18138
240	5743	18088
241	5761	18046
242	5779	18005
243	5795	17957
244	5811	17909
245	5828	17863
246	5845	17821
247	5865	17786
248	5881	17740
249	5897	17693
250	5914	17648
251	5934	17614
252	5959	17595
253	5973	17544
254	5992	17506
255	6007	17459
256	6024	17417
257	6040	17373
258	6057	17329
259	6073	17287
260	6092	17249
261	6109	17210
262	6123	17160
263	6140	17118
264	6157	17078
265	6172	17033
266	6190	16995
267	6208	16958
268	6222	16908
269	6236	16862
270	6255	16826
271	6269	16780
272	6286	16740
273	6303	16702
274	6322	16667
275	6341	16635
276	6360	16600
277	6376	16559
278	6394	16524
279	6411	16485
280	6427	16447
281	6445	16412
282	6462	16372
283	6478	16333
284	6497	16299
285	6513	16262
286	6529	16220
287	6547	16187
288	6565	16153
289	6581	16112
290	6600	16081
291	6613	16036
292	6629	15997
293	6646	15959
294	6663	15924
295	6679	15886
296	6692	15841
297	6708	15803
298	6724	15764
299	6739	15725
300	6755	15689
301	6774	15657
302	6788	15616
303	6805	15580
304	6822	15546
305	6843	15521
306	6860	15486
307	6877	15453
308	6896	15421
309	6912	15386
310	6927	15348
311	6944	15312
312	6962	15282
313	6979	15247
314	6997	15215
315	7012	15179
316	7030	15147
317	7048	15116
318	7066	15085
319	7083	15051
320	7099	15017
321	7112	14975
322	7127	14940
323	7147	14912
324	7162	14876
325	7180	14845
326	7195	14808
327	7212	14777
328	7229	14744
329	7245	14710
330	7262	14678
331	7279	14646
332	7294	14611
333	7313	14582
334	7329	14549
335	7346	14517
336	7361	14482
337	7377	14449
338	7393	14415
339	7407	14378
340	7423	14346
341	7438	14310
342	7456	14283
343	7497	14296
344	7517	14271
345	7534	14240
346	7550	14208
347	7566	14177
348	7582	14144
349	7599	14113
350	7615	14080
351	7632	14051
352	7649	14019
353	7665	13988
354	7680	13955
355	7697	13925
356	7713	13892
357	7729	13861
358	7747	13832
359	7766	13806
360	7783	13776
361	7800	13748
362	7818	13719
363	7833	13687
364	7849	13655
365	7861	13618
366	7878	13589
367	7894	13557
368	7909	13525
369	7922	13489
370	7940	13461
371	7956	13431
372	7974	13404
373	7989	13372
374	8004	13341
375	8022	13313
376	8038	13283
377	8053	13251
378	8071	13224
379	8088	13196
380	8107	13171
381	8122	13140
382	8139	13112
383	8156	13083
384	8173	13056
385	8189	13026
386	8207	13000
387	8221	12968
388	8239	12940
389	8256	12913
390	8270	12881
391	8287	12853
392	8302	12822
393	8320	12797
394	8338	12770
395	8355	12744
396	8373	12717
397	8390	12690
398	8408	12665
399	8424	12636
400	8439	12606
401	8456	12579
402	8474	12554
403	8498	12537
404	8517	12513
405	8533	12484
406	8550	12457
407	8566	12429
408	8581	12400
409	8598	12372
410	8613	12343
411	8628	12315
412	8643	12285
413	8660	12258
414	8677	12231
415	8690	12200
416	8708	12174
417	8725	12149
418	8742	12123
419	8761	12099
420	8777	12071
421	8796	12048
422	8811	12020
423	8827	11992
424	8843	11964
425	8858	11936
426	8872	11905
427	8889	11879
428	8906	11854
429	8926	11832
430	8944	11808
431	8962	11783
432	8982	11761
433	8999	11736
434	9016	11711
435	9033	11684
436	9048	11658
437	9067	11634
438	9082	11606
439	9099	11580
440	9116	11555
441	9134	11531
442	9148	11502
443	9164	11476
444	9182	11452
445	9199	11426
446	9217	11403
447	9236	11380
448	9262	11366
449	9280	11343
450	9299	11320
451	9316	11295
452	9334	11270
453	9350	11245
454	9367	11220
455	9384	11195
456	9404	11173
457	9419	11147
458	9437	11123
